#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Monster vs. Angel","WDL,mawe",140,2A,56,2026-01-18,03:25,53,"","No Wings Airline",2017-04-07,54,86,54,31,0,10,-6,D#/E♭ Minor,4,0stKYWa4tQ0jFXmOUDFbxM,SEWEE1501902
2,"Tread On Me","Matt Maeson",140,8B,49,2026-01-18,03:30,47,"","Bank On The Funeral",2019-04-05,59,44,0,54,0,20,-8,C Major,4,750amxX4DpEsA5N2IcAtm5,USAT21900732
3,"Glue Myself Shut","Noah Kahan",73,3B,31,2026-01-18,03:16,71,"","Cape Elizabeth",2020-05-01,62,88,0,70,0,30,-8,C♯/D♭ Major,4,67q8yivDoOPXCYodi1zTix,USUM72009075
4,"Alright","Demons Of Ruby Mae",180,8A,87,2026-01-18,02:46,3,"","Alright",2021-03-12,50,0,0,48,0,0,-5,A Minor,4,18jFJ06fHCUdejRzuI89Tp,UKX3E2100001
5,"Loud(y)","Lewis Del Mar",140,6A,56,2026-01-18,04:09,32,"","Loud(y)",2015-12-04,71,26,0,50,0,10,-7,G Minor,4,2Df8M8sO1zhC71p2XQRwpj,USSM11509018
6,"We Were The Same","Matt Maeson",116,12A,86,2026-01-18,04:00,42,"","We Were The Same",2020-09-04,54,2,0,48,0,0,-4,C♯/D♭ Minor,4,7mYQgz9i2n0XHXoVUBFyHt,USAT22005613
7,"Leave It","Teacup Monster",92,4A,16,2026-01-18,03:38,11,"","Take It or Leave It",2018-03-19,78,24,0,21,0,10,-16,F Minor,4,0AX1f2Dl1RoQpBde3CcSMM,FR9W11805259
8,"Take From Me","Bad Meets Evil",147,3B,78,2026-01-18,03:25,50,"","Hell: The Sequel (Deluxe)",2011-01-01,69,2,0,61,20,30,-5,C♯/D♭ Major,4,7n4PRAJjYzGFr1DR3KHYMU,USUM71107495
9,"We Fight","Dashboard Confessional",174,7B,89,2026-01-18,03:24,35,"emo, pop punk","Crooked Shadows",2018-02-09,51,1,0,55,0,0,-4,F Major,4,6hv6d8YnlBPuSnueUjxXny,USAT21704784
10,"You Are Dreaming","Shout Out Louds",130,12B,90,2026-01-18,03:29,0,"swedish pop","Our Ill Wills",2007-09-11,57,1,0,30,0,20,-4,E Major,4,2r2rSlvRnFdrLZaFkFIQZz,SEVUM0700203
11,"Villain I'm Not","Three Days Grace",160,12B,86,2026-01-18,02:55,50,"post-grunge, rock","Outsider",2018-03-09,41,0,0,48,0,30,-5,E Major,4,59pJsWr1eNmXSZGsCTRMWC,USRC11703671
12,"Lonely As You","Matt Maeson",172,7B,69,2026-01-18,03:25,37,"","Never Had to Leave",2022-08-26,55,1,0,76,0,10,-5,F Major,4,2IGEPotTBIcmxM5SOFot6V,USAT22207425
13,"La La Lie - 2015 Remastered","Jack's Mannequin",116,6B,92,2026-01-18,03:54,39,"pop punk","Everything In Transit",2005-00-00,40,5,0,44,0,30,-4,A#/B♭ Major,4,6JAzRucbCPHyqjopPOtOxn,USWB11507815
14,"Hey Now","Augustana",87,8B,60,2026-01-18,04:39,30,"","Can't Love, Can't Hurt",2008-00-00,45,14,0,4,0,10,-5,C Major,4,3g9mZP0Zc0Yw30lFC2Z9Bj,USSM10800215
15,"This Isn't Our Parade","Santigold",92,8A,57,2026-01-18,03:53,38,"","Master of My Make-Believe",2012-04-16,75,20,2,33,0,0,-7,A Minor,4,1X88sRUSCSAjGiWM1P25Yg,GBAHS1200080
16,"Unconsolable","X Ambassadors",151,11A,61,2026-01-18,03:36,40,"","Love Songs Drug Songs",2013-01-01,67,0,3,34,0,10,-8,F#/G♭ Minor,4,0jpoRHaMiyKNnCectzcXTv,USUM71304273
17,"Get Happy","Matt Maeson",168,11B,87,2026-01-18,03:48,44,"","Get Happy",2023-06-29,42,14,0,35,10,0,-6,A Major,4,1C1PabZfidunDI3xEj0D0H,USAT22305745
18,"Bleed It Out","Linkin Park",140,1B,97,2026-01-18,02:44,82,"nu metal, rap metal, rock, alternative metal","Minutes to Midnight",2007-05-14,54,11,0,60,0,60,-3,B Major,4,0UFDKFqW2oGspYeYqo9wjA,USWB10701213
19,"NOTHING ON THE LINE","George Barnett",95,9A,83,2026-01-18,03:24,19,"","NOTHING ON THE LINE",2022-06-17,63,0,0,84,0,30,-2,E Minor,4,2IzTDXAyIkey5Xnx5THC3H,QZ8GX1701511
